Date,Ticker
04/01/2016,E1AF6
06/01/2016,E1CF6
08/01/2016,EW1F6
11/01/2016,E2AF6
13/01/2016,E2CF6
15/01/2016,EW2F6
20/01/2016,E3CF6
22/01/2016,EW3F6
25/01/2016,E4AF6
27/01/2016,E4CF6
29/01/2016,EWF6
01/02/2016,E1AG6
03/02/2016,E1CG6
05/02/2016,EW1G6
08/02/2016,E2AG6
10/02/2016,E2CG6
12/02/2016,EW2G6
17/02/2016,E3CG6
19/02/2016,EW3G6
22/02/2016,E4AG6
24/02/2016,E4CG6
26/02/2016,EW4G6
29/02/2016,EWG6
02/03/2016,E1CH6
04/03/2016,EW1H6
07/03/2016,E2AH6
09/03/2016,E2CH6
11/03/2016,EW2H6
14/03/2016,E3AH6
16/03/2016,E3CH6
18/03/2016,ESH6
21/03/2016,E4AH6
23/03/2016,E4CH6
28/03/2016,E5AH6
30/03/2016,E5CH6
31/03/2016,EWH6
01/04/2016,EW1J6
04/04/2016,E2AJ6
06/04/2016,E2CJ6
08/04/2016,EW2J6
11/04/2016,E3AJ6
13/04/2016,E3CJ6
15/04/2016,EW3J6
18/04/2016,E4AJ6
20/04/2016,E4CJ6
22/04/2016,EW4J6
25/04/2016,E5AJ6
27/04/2016,E5CJ6
29/04/2016,EWJ6
02/05/2016,E1AK6
04/05/2016,E1CK6
06/05/2016,EW1K6
09/05/2016,E2AK6
11/05/2016,E2CK6
13/05/2016,EW2K6
16/05/2016,E3AK6
18/05/2016,E3CK6
20/05/2016,EW3K6
23/05/2016,E4AK6
25/05/2016,E4CK6
27/05/2016,EW4K6
31/05/2016,EWK6
01/06/2016,E1CM6
03/06/2016,EW1M6
06/06/2016,E2AM6
08/06/2016,E2CM6
10/06/2016,EW2M6
13/06/2016,E3AM6
15/06/2016,E3CM6
17/06/2016,ESM6
20/06/2016,E4AM6
22/06/2016,E4CM6
24/06/2016,EW4M6
27/06/2016,E5AM6
29/06/2016,E5CM6
30/06/2016,EWM6
01/07/2016,EW1N6
06/07/2016,E2CN6
08/07/2016,EW2N6
11/07/2016,E3AN6
13/07/2016,E3CN6
15/07/2016,EW3N6
18/07/2016,E4AN6
20/07/2016,E4CN6
22/07/2016,EW4N6
25/07/2016,E5AN6
27/07/2016,E5CN6
29/07/2016,EWN6
01/08/2016,E1AQ6
03/08/2016,E1CQ6
05/08/2016,EW1Q6
08/08/2016,E2AQ6
10/08/2016,E2CQ6
12/08/2016,EW2Q6
15/08/2016,E3AQ6
17/08/2016,E3CQ6
19/08/2016,EW3Q6
22/08/2016,E4AQ6
24/08/2016,E4CQ6
26/08/2016,EW4Q6
29/08/2016,E5AQ6
31/08/2016,EWQ6
02/09/2016,EW1U6
07/09/2016,E2CU6
09/09/2016,EW2U6
12/09/2016,E3AU6
14/09/2016,E3CU6
16/09/2016,ESU6
19/09/2016,E4AU6
21/09/2016,E4CU6
23/09/2016,EW4U6
26/09/2016,E5AU6
28/09/2016,E5CU6
30/09/2016,EWU6
03/10/2016,E1AV6
05/10/2016,E1CV6
07/10/2016,EW1V6
10/10/2016,E2AV6
12/10/2016,E2CV6
14/10/2016,EW2V6
17/10/2016,E3AV6
19/10/2016,E3CV6
21/10/2016,EW3V6
24/10/2016,E4AV6
26/10/2016,E4CV6
28/10/2016,EW4V6
31/10/2016,EWV6
02/11/2016,E1CX6
04/11/2016,EW1X6
07/11/2016,E2AX6
09/11/2016,E2CX6
11/11/2016,EW2X6
14/11/2016,E3AX6
16/11/2016,E3CX6
18/11/2016,EW3X6
21/11/2016,E4AX6
23/11/2016,E4CX6
25/11/2016,EW4X6
28/11/2016,E5AX6
30/11/2016,EWX6
02/12/2016,EW1Z6
05/12/2016,E2AZ6
07/12/2016,E2CZ6
09/12/2016,EW2Z6
12/12/2016,E3AZ6
14/12/2016,E3CZ6
16/12/2016,ESZ6
19/12/2016,E4AZ6
21/12/2016,E4CZ6
23/12/2016,EW4Z6
26/12/2016,E5AZ6
28/12/2016,E5CZ6
